ID_Venta,ID_Cliente,Fecha_Venta,Metodo_Pago,Modo_Entrega,ID_Detalle_Venta,ID_Producto_Venta,Cantidad,Precio_Unitario,Longitud_mt,Capas,Tipo_Empaque,ID_Producto,Tipo_Producto,Denier,Longitud_mm,Descripcion,ID_Importacion,Costo_Unitario,Volumen,Fecha_Importacion,Costo_Transporte,IVA,Arancel,Costo_Agente,Fecha_Costo,ID_Produccion,Costo_Produccion,Cantidad_Producida,Fecha_Produccion
7,1,2023-02-17,QR,Entregado,57,6,9.9,21.5,2.0,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,58,5,11.8,21.5,2.0,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,59,7,10.1,22.0,2.0,2.0,rollo,7,Fibra Discontinua de poliéster,7,64,psf material suave de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,60,5,10.1,21.5,2.0,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
8,1,2023-02-27,QR,Retirado,61,4,14.0,23.0,,,saco,4,Fibra Siliconada,3,64,"material extra suave grade a, hcs - made in China",,,,,,,,,,,,,
8,1,2023-02-27,QR,Retirado,62,4,16.0,23.0,,,saco,4,Fibra Siliconada,3,64,"material extra suave grade a, hcs - made in China",,,,,,,,,,,,,
8,1,2023-02-27,QR,Retirado,63,7,12.2,22.5,2.3,5.0,rollo,7,Fibra Discontinua de poliéster,7,64,psf material suave de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
8,1,2023-02-27,QR,Retirado,64,5,11.6,22.0,2.3,4.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
8,1,2023-02-27,QR,Retirado,65,5,10.8,22.0,2.3,4.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
9,1,2023-03-11,Efectivo,Retirado,66,1,10.0,21.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
